,Ticker Symbol,Years,Period Ending,Total Revenue,Cost of Goods Sold,"Sales, General and Admin.",Research and Development,Other Operating Items,GICS Sector,GICS Sub Industry,Total Revenue_sum,Cost of Goods Sold_sum,"Sales, General and Admin._sum",Other Operating Items_sum,Research and Development_sum
0,AAL,Year 1,2012-12-31,24,10.0,12.977,,0.845,Industrials,Airlines,132,47.0,67.851,4.357,0.0
1,AAL,Year 2,2013-12-31,26,11.0,12.913,,0.853,Industrials,Airlines,132,47.0,67.851,4.357,0.0
2,AAL,Year 3,2014-12-31,42,15.0,20.686,,1.295,Industrials,Airlines,132,47.0,67.851,4.357,0.0
3,AAL,Year 4,2015-12-31,40,11.0,21.275,,1.364,Industrials,Airlines,132,47.0,67.851,4.357,0.0
4,AAP,Year 1,2012-12-29,6,3.0,2.440721,,,Consumer Discretionary,Automotive Retail,30,16.0,12.231444,0.0,0.0
5,AAP,Year 2,2013-12-28,6,3.0,2.591828,,,Consumer Discretionary,Automotive Retail,30,16.0,12.231444,0.0,0.0
6,AAP,Year 3,2015-01-03,9,5.0,3.601903,,,Consumer Discretionary,Automotive Retail,30,16.0,12.231444,0.0,0.0
7,AAP,Year 4,2016-01-02,9,5.0,3.596992,,,Consumer Discretionary,Automotive Retail,30,16.0,12.231444,0.0,0.0
8,AAPL,Year 1,2013-09-28,170,106.0,10.83,4.475,,Information Technology,Computer Hardware,800,489.0,51.346000000000004,0.0,28.628
9,AAPL,Year 2,2014-09-27,182,112.0,11.993,6.041,,Information Technology,Computer Hardware,800,489.0,51.346000000000004,0.0,28.628
10,AAPL,Year 3,2015-09-26,233,140.0,14.329,8.067,,Information Technology,Computer Hardware,800,489.0,51.346000000000004,0.0,28.628
11,AAPL,Year 4,2016-09-24,215,131.0,14.194,10.045,,Information Technology,Computer Hardware,800,489.0,51.346000000000004,0.0,28.628
12,ABBV,Year 1,2012-12-31,18,4.0,4.989,2.778,,Health Care,Pharmaceuticals,77,16.0,25.202,0.0,13.215
13,ABBV,Year 2,2013-12-31,18,4.0,5.352,2.855,,Health Care,Pharmaceuticals,77,16.0,25.202,0.0,13.215
14,ABBV,Year 3,2014-12-31,19,4.0,8.474,3.297,,Health Care,Pharmaceuticals,77,16.0,25.202,0.0,13.215
15,ABBV,Year 4,2015-12-31,22,4.0,6.387,4.285,,Health Care,Pharmaceuticals,77,16.0,25.202,0.0,13.215
16,ABC,Year 1,2013-09-30,87,85.0,1.447234,,0.162186,Health Care,Health Care Distributors,487,475.0,8.699384,0.964236,0.0
17,ABC,Year 2,2014-09-30,119,116.0,2.011595,,0.18868,Health Care,Health Care Distributors,487,475.0,8.699384,0.964236,0.0
18,ABC,Year 3,2015-09-30,135,132.0,2.858458,,0.248635,Health Care,Health Care Distributors,487,475.0,8.699384,0.964236,0.0
19,ABC,Year 4,2016-09-30,146,142.0,2.382097,,0.364735,Health Care,Health Care Distributors,487,475.0,8.699384,0.964236,0.0
20,ABT,Year 1,2012-12-31,19,8.0,6.735,1.461,0.595,Health Care,Health Care Equipment,78,34.0,26.422,2.339,5.582
21,ABT,Year 2,2013-12-31,19,9.0,6.372,1.371,0.588,Health Care,Health Care Equipment,78,34.0,26.422,2.339,5.582
22,ABT,Year 3,2014-12-31,20,9.0,6.53,1.345,0.555,Health Care,Health Care Equipment,78,34.0,26.422,2.339,5.582
23,ABT,Year 4,2015-12-31,20,8.0,6.785,1.405,0.601,Health Care,Health Care Equipment,78,34.0,26.422,2.339,5.582
24,ADBE,Year 1,2013-11-29,4,0.0,2.140578,0.826631,0.052254,Information Technology,Application Software,17,0.0,9.039286,0.251861,3.509701
25,ADBE,Year 2,2014-11-28,4,0.0,2.19564,0.844353,0.052424,Information Technology,Application Software,17,0.0,9.039286,0.251861,3.509701
26,ADBE,Year 3,2015-11-27,4,0.0,2.215161,0.86273,0.068649,Information Technology,Application Software,17,0.0,9.039286,0.251861,3.509701
27,ADBE,Year 4,2016-12-02,5,0.0,2.487907,0.975987,0.078534,Information Technology,Application Software,17,0.0,9.039286,0.251861,3.509701
28,ADI,Year 1,2013-11-02,2,0.0,0.396233,0.513035,0.00022,Information Technology,Semiconductors,10,3.0,2.014991,0.18468099999999998,2.363996
29,ADI,Year 2,2014-11-01,2,1.0,0.454676,0.559686,0.02602,Information Technology,Semiconductors,10,3.0,2.014991,0.18468099999999998,2.363996
30,ADI,Year 3,2015-10-31,3,1.0,0.702644,0.637459,0.088318,Information Technology,Semiconductors,10,3.0,2.014991,0.18468099999999998,2.363996
31,ADI,Year 4,2016-10-29,3,1.0,0.461438,0.653816,0.070123,Information Technology,Semiconductors,10,3.0,2.014991,0.18468099999999998,2.363996
32,ADM,Year 1,2012-12-31,90,86.0,1.665,,,Consumer Staples,Agricultural Products,327,310.0,7.340999999999999,0.0,0.0
